id,created_at,product_id,product_name,product_sku,category,supplier_id,supplier_name,warehouse_location,shelf_location,quantity_on_hand,quantity_reserved,quantity_available,ventas_diarias,minimum_stock_level,reorder_point,optimal_stock_level,reorder_quantity,average_daily_usage,unit_cost,total_value,stock_status,last_order_date,last_stock_count_date,batch_number,last_updated_at,notes,is_active,created_by_id
7aa2bdeb-4662-45c1-b16d-c53790dcca73,11/03/2025 00:00,PROD-001,Laptop Dell Inspiron 15,LAP-DELL-001,2,PROV-001,TechDistributor SA,Warehouse C,A2,10,0,10,0,19,34,74,64,,650.0,6500.0,3,10/16/2025,10/27/2025,BATCH-202511-9935,11/03/2025 00:05,,True,c7fc44ff-2a52-45b0-947e-08a43315219c
01961be6-f13f-4cba-a236-2b4dd7b7a5f3,11/04/2025 00:00,PROD-001,Laptop Dell Inspiron 15,LAP-DELL-001,2,PROV-001,TechDistributor SA,Warehouse C,A2,10,3,7,0,17,34,73,63,0.0,650.0,6500.0,3,10/16/2025,10/28/2025,BATCH-202511-9935,11/04/2025 01:16,,True,17e4a873-da3e-4ec0-bb6c-9a0df2238393
31072c29-a521-4dcc-9bb5-cc5c8d828e46,11/05/2025 00:00,PROD-001,Laptop Dell Inspiron 15,LAP-DELL-001,2,PROV-001,TechDistributor SA,Warehouse C,A2,10,2,8,0,13,26,47,37,0.0,650.0,6500.0,3,10/16/2025,10/29/2025,BATCH-202511-9935,11/05/2025 00:30,,True,bd6952cc-9cae-4018-a6f2-5e7a95e24a6b
f1927ae7-afac-45be-83f8-2a0ecfcd643b,11/06/2025 00:00,PROD-001,Laptop Dell Inspiron 15,LAP-DELL-001,2,PROV-001,TechDistributor SA,Warehouse C,A2,10,3,7,0,25,32,64,54,0.0,650.0,6500.0,3,10/16/2025,10/30/2025,BATCH-202511-9935,11/06/2025 01:32,,True,596d734c-5404-4df3-abff-1e0a115e848f
9ff4c73e-46de-4c84-8818-a416bd2d5d7a,11/07/2025 00:00,PROD-001,Laptop Dell Inspiron 15,LAP-DELL-001,2,PROV-001,TechDistributor SA,Warehouse C,A2,10,2,8,0,27,38,68,58,0.0,650.0,6500.0,3,10/16/2025,10/31/2025,BATCH-202511-9935,11/07/2025 00:58,,True,17e4a873-da3e-4ec0-bb6c-9a0df2238393
078cd6a0-856d-4335-b642-7ee00943d299,11/08/2025 00:00,PROD-001,Laptop Dell Inspiron 15,LAP-DELL-001,2,PROV-001,TechDistributor SA,Warehouse C,A2,10,1,9,0,22,37,65,55,0.0,650.0,6500.0,3,10/16/2025,11/01/2025,BATCH-202511-9935,11/08/2025 01:38,,True,17e4a873-da3e-4ec0-bb6c-9a0df2238393
ca73d48b-e6fa-4a31-8494-c30f49df7d08,11/09/2025 00:00,PROD-001,Laptop Dell Inspiron 15,LAP-DELL-001,2,PROV-001,TechDistributor SA,Warehouse C,A2,10,2,8,0,12,23,42,32,0.0,650.0,6500.0,3,10/16/2025,10/26/2025,BATCH-202511-9935,11/09/2025 00:36,,True,bd6952cc-9cae-4018-a6f2-5e7a95e24a6b
294d9602-5a32-406c-893c-6b6f36f48405,11/10/2025 00:00,PROD-001,Laptop Dell Inspiron 15,LAP-DELL-001,2,PROV-001,TechDistributor SA,Warehouse C,A2,10,2,8,0,26,46,59,49,0.0,650.0,6500.0,3,10/16/2025,10/27/2025,BATCH-202511-9935,11/10/2025 00:14,,True,17e4a873-da3e-4ec0-bb6c-9a0df2238393
067bd148-21e2-4f35-afc9-b692e32ee7f9,11/11/2025 00:00,PROD-001,Laptop Dell Inspiron 15,LAP-DELL-001,2,PROV-001,TechDistributor SA,Warehouse C,A2,10,1,9,0,15,32,69,59,0.0,650.0,6500.0,3,10/16/2025,10/28/2025,BATCH-202511-9935,11/11/2025 01:18,,True,bd6952cc-9cae-4018-a6f2-5e7a95e24a6b
df3b1654-7351-44e9-bc6f-a4e6b47c1650,11/12/2025 00:00,PROD-001,Laptop Dell Inspiron 15,LAP-DELL-001,2,PROV-001,TechDistributor SA,Warehouse C,A2,9,2,7,1,29,48,84,75,0.14,650.0,5850.0,3,10/16/2025,10/29/2025,BATCH-202511-9935,11/12/2025 01:09,,True,773436b1-f9ea-4b90-90eb-edec3b20d232
d4f7ac79-d191-4967-9373-e01773f910a9,11/13/2025 00:00,PROD-001,Laptop Dell Inspiron 15,LAP-DELL-001,2,PROV-001,TechDistributor SA,Warehouse C,A2,9,0,9,0,29,38,48,39,0.14,650.0,5850.0,3,10/16/2025,11/06/2025,BATCH-202511-9935,11/13/2025 01:11,,True,bd6952cc-9cae-4018-a6f2-5e7a95e24a6b
9aec9372-0810-4717-b69b-35fb35f03ea8,11/14/2025 00:00,PROD-001,Laptop Dell Inspiron 15,LAP-DELL-001,2,PROV-001,TechDistributor SA,Warehouse C,A2,9,1,8,0,6,19,27,18,0.14,650.0,5850.0,4,10/16/2025,10/31/2025,BATCH-202511-9935,11/14/2025 01:14,,True,596d734c-5404-4df3-abff-1e0a115e848f
87c7fa8d-c723-4bd5-ad4a-cdab4368c377,11/15/2025 00:00,PROD-001,Laptop Dell Inspiron 15,LAP-DELL-001,2,PROV-001,TechDistributor SA,Warehouse C,A2,9,1,8,0,12,21,33,24,0.14,650.0,5850.0,3,10/16/2025,10/16/2025,BATCH-202511-9935,11/15/2025 00:30,,True,596d734c-5404-4df3-abff-1e0a115e848f
b0bb1bfc-1108-4170-9c09-54c93199470a,11/16/2025 00:00,PROD-001,Laptop Dell Inspiron 15,LAP-DELL-001,2,PROV-001,TechDistributor SA,Warehouse C,A2,9,1,8,0,6,18,32,23,0.14,650.0,5850.0,4,10/16/2025,11/09/2025,BATCH-202511-9935,11/16/2025 01:51,,True,bd6952cc-9cae-4018-a6f2-5e7a95e24a6b
