id,created_at,product_id,product_name,product_sku,category,supplier_id,supplier_name,warehouse_location,shelf_location,quantity_on_hand,quantity_reserved,quantity_available,ventas_diarias,minimum_stock_level,reorder_point,optimal_stock_level,reorder_quantity,average_daily_usage,unit_cost,total_value,stock_status,last_order_date,last_stock_count_date,batch_number,last_updated_at,notes,is_active,created_by_id
47b2bde6-5312-4822-bbe8-5aebf709ed5c,10/20/2024 00:00,PROD-001,Laptop Dell Inspiron 15,LAP-DELL-001,2,PROV-001,TechDistributor SA,Warehouse C,A2,10,0,10,0,19,34,74,64,,650.0,6500.0,3,10/02/2024,10/13/2024,BATCH-202410-9935,10/20/2024 00:05,,True,fdbc778a-15ef-463f-a839-4854f851c325
8c5ae969-6031-4c69-89c0-94b0af43f7ec,10/21/2024 00:00,PROD-001,Laptop Dell Inspiron 15,LAP-DELL-001,2,PROV-001,TechDistributor SA,Warehouse C,A2,10,3,7,0,17,34,73,63,0.0,650.0,6500.0,3,10/02/2024,10/14/2024,BATCH-202410-9935,10/21/2024 01:16,,True,fc996568-7d1b-4237-be35-22af37be66e9
25a0b735-d100-4dbf-a404-08e039d9b6f6,10/22/2024 00:00,PROD-001,Laptop Dell Inspiron 15,LAP-DELL-001,2,PROV-001,TechDistributor SA,Warehouse C,A2,10,2,8,0,13,26,47,37,0.0,650.0,6500.0,3,10/02/2024,10/15/2024,BATCH-202410-9935,10/22/2024 00:30,,True,70d1fa10-a084-4b8b-9ae5-1357702c364d
1001c2a7-ef98-4305-b1f2-dabff0912eb1,10/23/2024 00:00,PROD-001,Laptop Dell Inspiron 15,LAP-DELL-001,2,PROV-001,TechDistributor SA,Warehouse C,A2,10,3,7,0,25,32,64,54,0.0,650.0,6500.0,3,10/02/2024,10/16/2024,BATCH-202410-9935,10/23/2024 01:32,,True,c833de6f-27d9-4722-b599-c90f2ad8b0cc
30978f75-634c-4a1f-863d-29322123f980,10/24/2024 00:00,PROD-001,Laptop Dell Inspiron 15,LAP-DELL-001,2,PROV-001,TechDistributor SA,Warehouse C,A2,10,2,8,0,27,38,68,58,0.0,650.0,6500.0,3,10/02/2024,10/17/2024,BATCH-202410-9935,10/24/2024 00:58,,True,fc996568-7d1b-4237-be35-22af37be66e9
36827261-99e6-425d-b5eb-e0fef9363391,10/25/2024 00:00,PROD-001,Laptop Dell Inspiron 15,LAP-DELL-001,2,PROV-001,TechDistributor SA,Warehouse C,A2,10,1,9,0,22,37,65,55,0.0,650.0,6500.0,3,10/02/2024,10/18/2024,BATCH-202410-9935,10/25/2024 01:38,,True,fc996568-7d1b-4237-be35-22af37be66e9
6b7998be-61e3-4592-872c-96db19169353,10/26/2024 00:00,PROD-001,Laptop Dell Inspiron 15,LAP-DELL-001,2,PROV-001,TechDistributor SA,Warehouse C,A2,10,2,8,0,12,23,42,32,0.0,650.0,6500.0,3,10/02/2024,10/12/2024,BATCH-202410-9935,10/26/2024 00:36,,True,70d1fa10-a084-4b8b-9ae5-1357702c364d
dbecef99-c55c-4e43-9ae0-31cf77555397,10/27/2024 00:00,PROD-001,Laptop Dell Inspiron 15,LAP-DELL-001,2,PROV-001,TechDistributor SA,Warehouse C,A2,10,2,8,0,26,46,59,49,0.0,650.0,6500.0,3,10/02/2024,10/13/2024,BATCH-202410-9935,10/27/2024 00:14,,True,fc996568-7d1b-4237-be35-22af37be66e9
149242b8-2fc4-4e39-afa2-25df12284e22,10/28/2024 00:00,PROD-001,Laptop Dell Inspiron 15,LAP-DELL-001,2,PROV-001,TechDistributor SA,Warehouse C,A2,10,1,9,0,15,32,69,59,0.0,650.0,6500.0,3,10/02/2024,10/14/2024,BATCH-202410-9935,10/28/2024 01:18,,True,70d1fa10-a084-4b8b-9ae5-1357702c364d
fda0d373-c4e0-497c-bfcd-880703fc6bb0,10/29/2024 00:00,PROD-001,Laptop Dell Inspiron 15,LAP-DELL-001,2,PROV-001,TechDistributor SA,Warehouse C,A2,9,2,7,1,29,48,84,75,0.14,650.0,5850.0,3,10/02/2024,10/15/2024,BATCH-202410-9935,10/29/2024 01:09,,True,3a53a77e-9bb5-41c6-8d95-acc4b4a730b4
