id,created_at,product_id,product_name,product_sku,supplier_id,supplier_name,warehouse_location,shelf_location,quantity_on_hand,quantity_reserved,quantity_available,ventas_diarias,minimum_stock_level,reorder_point,optimal_stock_level,reorder_quantity,average_daily_usage,unit_cost,total_value,stock_status,last_order_date,last_stock_count_date,batch_number,last_updated_at,notes,is_active,created_by_id
a86750c7-8813-47b9-9f56-785df63a5136,3/1/2024,PROD-001,Laptop Dell Inspiron 15,LAP-DELL-001,PROV-001,TechDistributor SA,Warehouse A,A1,137,39,98,0,29,55,88,0,0,650,89050,1,9/26/2024,2/23/2024,BATCH-202403-9935,3/1/2024 0:05,,True,b26beecc-a5ff-43fc-bf1d-f263e866ae8d
71c0d22d-e840-49bd-8fd2-ec2f42c74621,3/2/2024,PROD-001,Laptop Dell Inspiron 15,LAP-DELL-001,PROV-001,TechDistributor SA,Warehouse A,A1,137,14,123,0,30,41,83,0,0,650,89050,1,2/22/2024,2/24/2024,BATCH-202403-9935,3/2/2024 1:16,,True,25e46428-4689-4952-9297-2d0da56433de
aa7eeac7-0187-483c-94a6-d88f9c1541c3,3/3/2024,PROD-001,Laptop Dell Inspiron 15,LAP-DELL-001,PROV-001,TechDistributor SA,Warehouse A,A1,131,41,90,6,46,66,86,0,2,650,85150,1,2/22/2024,2/25/2024,BATCH-202403-9935,3/3/2024 0:30,Venta significativa registrada,True,f8835b5f-52d7-440c-8ba9-8d87645f7f61
0d948e76-96aa-44de-a8c7-6b8ed067062b,3/4/2024,PROD-001,Laptop Dell Inspiron 15,LAP-DELL-001,PROV-001,TechDistributor SA,Warehouse A,A1,128,4,124,3,48,77,88,0,2.25,650,83200,1,2/22/2024,2/3/2024,BATCH-202403-9935,3/4/2024 1:30,,True,25e46428-4689-4952-9297-2d0da56433de
5f5f24a8-54cc-4000-bf78-64e5689ee09c,3/5/2024,PROD-001,Laptop Dell Inspiron 15,LAP-DELL-001,PROV-001,TechDistributor SA,Warehouse A,A1,124,40,84,4,15,29,48,0,2.6,650,80600,1,2/22/2024,2/27/2024,BATCH-202403-9935,3/5/2024 1:38,,True,a012d1b8-2f66-4ebe-9e79-850e0ff3c1de
89117acf-5119-4ce1-a649-786c60a48cc4,3/6/2024,PROD-001,Laptop Dell Inspiron 15,LAP-DELL-001,PROV-001,TechDistributor SA,Warehouse A,A1,124,29,95,0,13,42,90,0,2.17,650,80600,1,2/22/2024,2/28/2024,BATCH-202403-9935,3/6/2024 0:28,,True,a012d1b8-2f66-4ebe-9e79-850e0ff3c1de
0810df58-c89f-469b-94b0-3f2651595535,3/7/2024,PROD-001,Laptop Dell Inspiron 15,LAP-DELL-001,PROV-001,TechDistributor SA,Warehouse A,A1,124,19,105,0,19,41,79,0,1.86,650,80600,1,2/22/2024,2/29/2024,BATCH-202403-9935,3/7/2024 0:46,,True,23750e96-25bf-45f7-bc5a-82371ad67fe9
274596be-5416-48b0-b4e9-9d2956286613,3/8/2024,PROD-001,Laptop Dell Inspiron 15,LAP-DELL-001,PROV-001,TechDistributor SA,Warehouse A,A1,124,41,83,0,20,34,46,0,1.86,650,80600,1,2/22/2024,2/7/2024,BATCH-202403-9935,3/8/2024 0:59,,True,b26beecc-a5ff-43fc-bf1d-f263e866ae8d
dccd40a2-83d8-43ed-b4e8-b004bf1547f9,3/9/2024,PROD-001,Laptop Dell Inspiron 15,LAP-DELL-001,PROV-001,TechDistributor SA,Warehouse A,A1,124,26,98,0,49,64,82,0,1.86,650,80600,1,2/22/2024,2/8/2024,BATCH-202403-9935,3/9/2024 0:38,,True,a012d1b8-2f66-4ebe-9e79-850e0ff3c1de
bbcab0dc-304c-45de-b87f-2196b2c87eee,3/10/2024,PROD-001,Laptop Dell Inspiron 15,LAP-DELL-001,PROV-001,TechDistributor SA,Warehouse A,A1,124,7,117,0,13,28,42,0,1,650,80600,1,2/22/2024,2/9/2024,BATCH-202403-9935,3/10/2024 0:25,,True,b26beecc-a5ff-43fc-bf1d-f263e866ae8d
