product_id,created_at,category,quantity_available,quantity_on_hand,quantity_reserved,reorder_point,optimal_stock_level,average_daily_usage,stock_status,anio,mes,dia_semana,fin_de_semana
PROD-001,2024-07-01,2,9,10,1,38,60,0.0,3,2024,7,0,0
PROD-001,2024-07-02,2,9,10,1,30,40,0.0,3,2024,7,1,0
PROD-001,2024-07-03,2,7,10,3,20,27,0.0,3,2024,7,2,0
PROD-001,2024-07-04,2,10,10,0,39,58,0.0,3,2024,7,3,0
PROD-001,2024-07-05,2,10,10,0,33,71,0.0,3,2024,7,4,0
PROD-001,2024-07-06,2,9,10,1,20,51,0.0,3,2024,7,5,1
PROD-001,2024-07-07,2,8,10,2,42,70,0.0,3,2024,7,6,1
PROD-001,2024-07-08,2,9,10,1,35,69,0.0,3,2024,7,0,0
PROD-001,2024-07-09,2,9,10,1,48,58,0.0,3,2024,7,1,0
PROD-001,2024-07-10,2,7,9,2,40,51,0.14,3,2024,7,2,0
PROD-001,2024-07-11,2,8,9,1,22,59,0.14,3,2024,7,3,0
PROD-001,2024-07-12,2,7,9,2,30,43,0.14,3,2024,7,4,0
PROD-001,2024-07-13,2,7,9,2,34,64,0.14,3,2024,7,5,1
PROD-001,2024-07-14,2,9,9,0,18,27,0.14,4,2024,7,6,1
PROD-001,2024-07-15,2,7,9,2,40,48,0.14,3,2024,7,0,0
PROD-001,2024-07-16,2,8,9,1,33,65,0.14,3,2024,7,1,0
PROD-001,2024-07-17,2,7,9,2,25,38,0.0,3,2024,7,2,0
PROD-001,2024-07-18,2,8,9,1,27,47,0.0,3,2024,7,3,0
PROD-001,2024-07-19,2,7,9,2,32,55,0.0,3,2024,7,4,0
PROD-001,2024-07-20,2,9,9,0,30,51,0.0,3,2024,7,5,1
PROD-001,2024-07-21,2,8,9,1,13,38,0.0,4,2024,7,6,1
PROD-001,2024-07-22,2,8,9,1,41,71,0.0,3,2024,7,0,0
PROD-001,2024-07-23,2,8,9,1,43,68,0.0,3,2024,7,1,0
PROD-001,2024-07-24,2,7,9,2,45,70,0.0,3,2024,7,2,0
PROD-001,2024-07-25,2,9,9,0,28,61,0.0,3,2024,7,3,0
PROD-001,2024-07-26,2,9,9,0,31,53,0.0,3,2024,7,4,0
PROD-001,2024-07-27,2,9,9,0,42,61,0.0,3,2024,7,5,1
PROD-001,2024-07-28,2,9,9,0,25,34,0.0,3,2024,7,6,1
PROD-001,2024-07-29,2,7,9,2,30,47,0.0,3,2024,7,0,0
PROD-001,2024-07-30,2,8,9,1,32,45,0.0,3,2024,7,1,0
PROD-001,2024-07-31,2,6,9,3,22,33,0.0,4,2024,7,2,0
PROD-001,2024-08-01,2,9,9,0,26,40,0.0,3,2024,8,3,0
PROD-001,2024-08-02,2,6,9,3,31,42,0.0,3,2024,8,4,0
PROD-001,2024-08-03,2,7,9,2,43,58,0.0,3,2024,8,5,1
PROD-001,2024-08-04,2,7,9,2,32,65,0.0,3,2024,8,6,1
PROD-001,2024-08-05,2,6,9,3,48,82,0.0,3,2024,8,0,0
PROD-001,2024-08-06,2,8,9,1,29,54,0.0,3,2024,8,1,0
PROD-001,2024-08-07,2,6,9,3,20,51,0.0,3,2024,8,2,0
PROD-001,2024-08-08,2,7,9,2,35,47,0.0,3,2024,8,3,0
PROD-001,2024-08-09,2,6,9,3,31,70,0.0,3,2024,8,4,0
PROD-001,2024-08-10,2,9,9,0,30,57,0.0,3,2024,8,5,1
PROD-001,2024-08-11,2,9,9,0,21,39,0.0,4,2024,8,6,1
PROD-001,2024-08-12,2,8,9,1,33,66,0.0,3,2024,8,0,0
PROD-001,2024-08-13,2,6,9,3,33,57,0.0,3,2024,8,1,0
PROD-001,2024-08-14,2,6,9,3,27,61,0.0,3,2024,8,2,0
PROD-001,2024-08-15,2,6,9,3,48,69,0.0,3,2024,8,3,0
PROD-001,2024-08-16,2,6,9,3,31,43,0.0,3,2024,8,4,0
PROD-001,2024-08-17,2,6,6,0,36,46,0.43,3,2024,8,5,1
PROD-001,2024-08-18,2,5,6,1,17,32,0.43,3,2024,8,6,1
PROD-001,2024-08-19,2,4,6,2,32,56,0.43,3,2024,8,0,0
PROD-001,2024-08-20,2,6,6,0,22,29,0.43,3,2024,8,1,0
PROD-001,2024-08-21,2,5,6,1,41,59,0.43,3,2024,8,2,0
